LaborCode,,Description,LaborRate,Key,,
1,,EMBROIDERY,$ 10.75,33,,
2,,"GLUE TABLE, GREASE",$ 9.00,2,,
3,,STAMPING,$ 13.20,3,,
5,,"SERGE,BARTACK.LACE",$ 11.00,1,,
6,,TURN BIND #3,$ 11.00,19,,
7,,CLICK LEATHER,$ 10.00,12,,
8,,"FERDINDAND, WEBS",$ 10.00,9,,
9,,TURN & STRETCH GLOVE,$ 12.75,20,,
10,,GLOVE STITCH L2,$ 15.00,34,,
11,,GLOVE/MITT STITCH L1,$ 11.00,22,,
12,,MITT LACE,$ 10.50,23,,
13,,MACHINE TROUBLE,$ 0.00,24,,
15,,ALL FLAT BED SEWING,$ 10.00,28,,
16,,LAY OFF GLOVES,$ 9.25,30,,
17,,PACK & INSPECT,$ 12.75,31,,
18,,SEW PADS,$ 10.00,29,,
19,,REPAIRS,$ 12.00,37,,
,Tuesday 31 March 2020,,,,Page 1 of, 1
